etid,name,hv,cat,desc,datasheet
,74LS104,0,74 LS Series Logic ,J-K MASTER-SLAVE FLIP-FLOP,
,74LS105,0,74 LS Series Logic ,J-K MASTER-SLAVE FLIP-FLOP,
,74LS106,0,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET AND CLEAR,
,74LS107,0,74 LS Series Logic ,DUAL J-K FLIP-FLOP WITH CLEAR,
,74LS107a,0,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH CLEAR,
,74LS108,0,74 LS Series Logic ,"DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET, COMMON CLEAR, AND COMMON CLOCK",
,74LS109,0,74 LS Series Logic ,DUAL J-NOT-K POSITIVE-EDGE-TRIGGERED FLIP-FLOP WITH CLEAR AND PRESET,
,74LS110,0,74 LS Series Logic ,AND-GATED J-K MASTER-SLAVE FLIP-FLOP WITH DATA LOCKOUT,
,74LS111,0,74 LS Series Logic ,DUAL J-K MASTER-SLAVE FLIP-FLOP WITH DATA LOCKOUT,
,74LS112,0,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH CLEAR AND PRESET,
,74LS113,0,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET,
,74LS114,0,74 LS Series Logic ,"DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET, COMMON CLOCK AND CLEAR",
,74LS116,0,74 LS Series Logic ,DUAL 4-BIT LATCH WITH CLEAR,
,74LS118,0,74 LS Series Logic ,HEX SET/RESET LATCH,
,74LS119,0,74 LS Series Logic ,HEX SET/RESET LATCH,
,74LS120,0,74 LS Series Logic ,DUAL PULSE SYNCHRONIZER/DRIVERS,
,74LS121,0,74 LS Series Logic ,MONOSTABLE MULTIVIBRATOR,
,74LS122,0,74 LS Series Logic ,RETRIGGERABLE MONOSTABLE MULTIVIBRATOR WITH CLEAR,
,74LS123,0,74 LS Series Logic ,DUAL RETRIGGERABLE MONOSTABLE MULTIVIBRATOR WITH CLEAR,
,74LS1G123,0,74 LS Series Logic ,SINGLE RETRIGGERABLE MONOSTABLE MULTIVIBRATOR WITH CLEAR,
,74LS124,0,74 LS Series Logic ,DUAL VOLTAGE-CONTROLLED OSCILLATOR,
,74LS125,0,74 LS Series Logic ,"QUAD BUS BUFFER WITH THREE-STATE OUTPUTS, NEGATIVE ENABLE",
,74LS1G125,0,74 LS Series Logic ,"BUFFER/LINE DRIVER, THREE-STATE OUTPUT WITH ACTIVE LOW OUTPUT ENABLE",
,74LS126,0,74 LS Series Logic ,"QUAD BUS BUFFER WITH THREE-STATE OUTPUTS, POSITIVE ENABLE",
,74LS1G126,0,74 LS Series Logic ,"BUFFER/LINE DRIVER, THREE-STATE OUTPUT WITH ACTIVE HIGH OUTPUT ENABLE",
,74LS128,0,74 LS Series Logic ,QUAD 2-INPUT NOR LINE DRIVER,
,74LS130,0,74 LS Series Logic ,QUAD 2-INPUT AND GATE BUFFER WITH 30 V OPEN COLLECTOR OUTPUTS,
,74LS131,0,74 LS Series Logic ,QUAD 2-INPUT AND GATE BUFFER WITH 15 V OPEN COLLECTOR OUTPUTS,
,74LS132,0,74 LS Series Logic ,QUAD 2-INPUT NAND SCHMITT TRIGGER,
,74LS133,0,74 LS Series Logic ,13-INPUT NAND GATE,
,74LS134,0,74 LS Series Logic ,12-INPUT NAND GATE WITH THREE-STATE OUTPUT,
,74LS135,0,74 LS Series Logic ,QUAD EXCLUSIVE-OR/NOR GATE,
,74LS136,0,74 LS Series Logic ,QUAD 2-INPUT XOR GATE WITH OPEN COLLECTOR OUTPUTS,
,74LS137,0,74 LS Series Logic ,3 TO 8-LINE DECODER/DEMULTIPLEXER WITH ADDRESS LATCH,
,74LS138,0,74 LS Series Logic ,3 TO 8-LINE DECODER/DEMULTIPLEXER,
,74LS139,0,74 LS Series Logic ,DUAL 2 TO 4-LINE DECODER/DEMULTIPLEXER,
,74LS140,0,74 LS Series Logic ,DUAL 4-INPUT NAND LINE DRIVER,
,74LS141,0,74 LS Series Logic ,BCD TO DECIMAL DECODER/DRIVER FOR COLD-CATHODE INDICATOR/NIXIE TUBE,
,74LS142,0,74 LS Series Logic ,DECADE COUNTER/LATCH/DECODER/DRIVER FOR NIXIE TUBES,
,74LS143,0,74 LS Series Logic ,"DECADE COUNTER/LATCH/DECODER/7-SEGMENT DRIVER, 15 MA CONSTANT CURRENT",
,74LS144,0,74 LS Series Logic ,"DECADE COUNTER/LATCH/DECODER/7-SEGMENT DRIVER, 15 V OPEN COLLECTOR OUTPUTS",
,74LS145,0,74 LS Series Logic ,BCD TO DECIMAL DECODER/DRIVER,
,74LS147,0,74 LS Series Logic ,10-LINE TO 4-LINE PRIORITY ENCODER,
,74LS148,0,74 LS Series Logic ,8-LINE TO 3-LINE PRIORITY ENCODER,
,74LS150,0,74 LS Series Logic ,16-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER,
,74LS151,0,74 LS Series Logic ,8-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER,
,74LS152,0,74 LS Series Logic ,8-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER,
,74LS153,0,74 LS Series Logic ,DUAL 4-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER,
,74LS154,0,74 LS Series Logic ,4-LINE TO 16-LINE DECODER/DEMULTIPLEXER,
,74LS155,0,74 LS Series Logic ,DUAL 2-LINE TO 4-LINE DECODER/DEMULTIPLEXER,
,74LS156,0,74 LS Series Logic ,DUAL 2-LINE TO 4-LINE DECODER/DEMULTIPLEXER WITH OPEN COLLECTOR OUTPUTS,
,74LS157,0,74 LS Series Logic ,"QUAD 2-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER, NONINVERTING",
,74LS158,0,74 LS Series Logic ,"QUAD 2-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER, INVERTING",
,74LS159,0,74 LS Series Logic ,4-LINE TO 16-LINE DECODER/DEMULTIPLEXER WITH OPEN COLLECTOR OUTPUTS,
,74LS160,0,74 LS Series Logic ,SYNCHRONOUS 4-BIT DECADE COUNTER WITH ASYNCHRONOUS CLEAR,
,74LS161,0,74 LS Series Logic ,SYNCHRONOUS 4-BIT BINARY COUNTER WITH ASYNCHRONOUS CLEAR,
,74LS162,0,74 LS Series Logic ,SYNCHRONOUS 4-BIT DECADE COUNTER WITH SYNCHRONOUS CLEAR,
,74LS163,0,74 LS Series Logic ,SYNCHRONOUS 4-BIT BINARY COUNTER WITH SYNCHRONOUS CLEAR,
,74LS164,0,74 LS Series Logic ,8-BIT PARALLEL-OUT SERIAL SHIFT REGISTER WITH ASYNCHRONOUS CLEAR,
,74LS165,0,74 LS Series Logic ,"8-BIT SERIAL SHIFT REGISTER, PARALLEL LOAD, COMPLEMENTARY OUTPUTS",
,74LS166,0,74 LS Series Logic ,PARALLEL-LOAD 8-BIT SHIFT REGISTER,
,74LS167,0,74 LS Series Logic ,SYNCHRONOUS DECADE RATE MULTIPLIER,
,74LS168,0,74 LS Series Logic ,SYNCHRONOUS 4-BIT UP/DOWN DECADE COUNTER,
,74LS169,0,74 LS Series Logic ,SYNCHRONOUS 4-BIT UP/DOWN BINARY COUNTER,
,74LS170,0,74 LS Series Logic ,4 BY 4 REGISTER FILE WITH OPEN COLLECTOR OUTPUTS,
,74LS171,0,74 LS Series Logic ,QUAD D-TYPE FLIP-FLOPS WITH CLEAR,
,74LS172,0,74 LS Series Logic ,16-BIT MULTIPLE PORT REGISTER FILE WITH THREE-STATE OUTPUTS,
,74LS173,0,74 LS Series Logic ,QUAD D FLIP-FLOP WITH THREE-STATE OUTPUTS,
,74LS174,0,74 LS Series Logic ,HEX D FLIP-FLOP WITH COMMON CLEAR,
